,Review-Body,label
8933,i love this device performance and camera with battery nice,0
8822,very nice,0
8821,ram is super,0
8820,bakwash tolally money west,0
8717,the media could not be loaded,0
8716,best quality,0
8715,after two weeks of usage,0
8714,best,0
8713,the best,0
8712,marvelous,0
8711,i brought it one month back,0
8718,the media could not be loaded,0
8710,like,0
8708,very nice,0
8707,battery life is good,0
8706,front camera not ok,0
8705,not good,0
8704,camera quality low,0
8703,calls can,0
8702,good camera,0
8709,dislike,0
8701,good,0
8719,satisfy with the product,0
8721,happy,0
8737,good,0
8736,good mobile,0
8735,bad performance i want money back,0
8734,very good,0
8733,visit dish,0
8732,phone is getting hanged and struckneed replacement,0
8731,don,0
8720,battery life great,0
8730,,0
8728,not expected this,0
8727,most bakwaas phone ever highly expensive but no any special feature waste of money,0
8726,superb product at reasonable price,0
8725,poor display quality and display brightness is very dull,0
8724,front camera quality is bad and there are time it doesn,0
8723,worst mobile hanging,0
8722,iam happy this item purchased good quality screen camera,0
8729,amezing,0
8738,good one,0
8700,good,0
8698,ok,0
8677,nice,0
8676,first time bought gaget online,0
8675,worst,0
8674,the media could not be loaded,0
8673,nice model,0
8672,nice,0
8671,worst of camera,0
8678,wrost phone ever,0
8670,overall performance of this phone is good,0
8668,superb camera quality,0
8667,it,0
8666,speak,0
8665,nice mobile smooth and big screen but camera is not good,0
8664,nice phone,0
8663,unsure what happened,0
8662,like,0
8669,don,0
8699,ok but as compared to price,0
8679,i am satisfy with this,0
8681,guys don,0
8697,i got my delivery on,0
8696,it,0
8695,please don,0
8694,camera clarity is very bad,0
8693,good phone with fantastic battery life but camera could be more better,0
8692,very good product in less price,0
8691,good,0
8680,poorest camera,0
8690,good,0
8688,this is the best quality of phone,0
8687,bettrey life is low and mobile processer is very good,0
8686,money fully west camra quality and voice is very poor quality i think realme products is not a good,0
8685,bought this for my mother who doesn,0
8684,earphone missing,0
8683,all is very good,0
8682,bakwaa phone charge work nahi kar raha karta proper fast charge nahi ho raha nahi he but performance is good charge take is long time,0
8689,not charging,0
3258,i bought this phone to gift my uncle who is over,0
8739,fingerprint sensor is very slow and week phn not open in one touch,0
8741,best quality and good product i m happy,0
8798,the look and the camera are most important part of the phone,0
8797,lovely,0
8796,good product,0
8795,the media could not be loaded,0
8794,high cost low value phone,0
8793,nice and low price,0
8792,display quality is not good,0
8799,this is a good phone value for money please buy this,0
8791,dislike,0
8789,display blinking,0
8788,no,0
8787,nice product,0
8785,excellent mobile,0
8784,awesome camera quality and screen,0
8783,super phone at valuable price,0
8782,camera quality below average,0
8790,good in budget mobiles,0
8781,not valuable at any cost coz hanging many time,0
8800,otbaottha,0
8802,good,0
8819,i got it at,0
8818,video calling doesn,0
8816,product is very good,0
8815,network problem h gps not good,0
8814,battery charging take high time,0
8813,wrost product,0
8812,worst phone i have ever purchased,0
8801,all good,0
8811,heavy waightbig size,0
8809,this is the worst mobile ever,0
8808,good battery backup ane low price all over good phone this price range,0
8807,it,0
8806,nice phone,0
8805,its not good product,0
8804,i don,0
8803,everything is perfect,0
8810,camera quality averagebut battery capacity is the best,0
8740,good,0
8780,very good,0
8778,good,0
8757,pura seraaaa set,0
8756,good,0
8755,bad cell,0
8754,worst experience,0
8753,we like the phone very much,0
8752,the media could not be loaded,0
8751,it looks like a,0
8758,no updates above android,0
8750,this mobile is good and lite wight,0
8748,awesome product,0
8747,no problem,0
8746,better phone price,0
8745,camera quality nahi hai,0
8744,camera,0
8743,good,0
8742,screen lock button not working properly,0
8749,the media could not be loaded,0
8779,don,0
8759,,0
8761,phone is worth the price,0
8777,good,0
8776,excellent,0
8775,battery is not good,0
8774,not good product,0
8773,only camera quality issue,0
8772,worst phone battery power is less only half day only using,0
8771,hang problem,0
8760,this phone absolutely value for money,0
8770,i like it,0
8768,touch properly working,0
8767,please dont purchase no exchange offer not good camera not intrestedd this mobile pleaseeee lotpot mobile redmi,0
8766,good and excellent service and product,0
8765,this is amazing mobile phone,0
8764,useing the mobile for taking online classes the best is,0
8763,very good products,0
8762,worst product and worst service,0
8769,i have ordered this item after doing lot of research for a good phone within my,0
3257,network issue in this phone not working proper incoming,0
3256,everything is too good,0
3255,good,0
2822,worst phone,0
2821,fingerprint lock very slow,0
2820,it,0
2819,mi hosur service centre very worst,0
2818,thanks,0
2817,hi to alli am using this phone for a period of,0
2816,battery quality very bad,0
2815,realme my favourite brand,0
2814,excellent,0
2813,there is no hotspot facility in this phone,0
2812,waste of money,0
2811,never ever buy this phone camera quality is very bad,0
2810,screen,0
2809,for fast using,0
2808,quality is less than expected,0
2823,camera and battery is gud,0
2824,i am not able to use this phone morethan,0
2825,its a worst phone i ever bought,0
2826,finger print sensor not working,0
2843,i never expected this kind of bad quality camera from mi note,0
2842,camera could be better for this price,0
2841,i booked redmi note,0
2840,days review,0
2838,reset option not working,0
2837,excellent screen,0
2836,it,0
2806,excellent,0
2835,really worst,0
2833,very good,0
2832,the charger head is not given by amazon only that usb cable is there,0
2831,i like product,0
2830,light weightlooks good and feels good in handcompact size so easy to holdcharging speed is better than other mobilesdisplay quality is too good compared to other mobiles in this price range,0
2829,i have recently bought this phone,0
2828,waste of money,0
2827,ok,0
2834,very nice product at this price,0
2805,battery back up is not good as expected,0
2804,phone was looking so good,0
2803,if you can afford to push your price range,0
2782,nice pic phone,0
2781,this phone is not good,0
2780,charger defect,0
2779,didn,0
2778,phone is price rang me bhut acha h,0
2777,this mobile is not good as expected,0
2776,not a great mobile,0
2783,nice mobile,0
2775,product display and multimedia experience is good,0
2773,some times feel slow operationike other samsung phones but not like disappointing level,0
2772,i am very,0
2771,camera,0
2770,yep ok good mobile with less cost,0
2769,camera is flagship,0
2768,it never looks as shown in display,0
2767,very nice product,0
2774,suraj modi,0
2844,the media could not be loaded,0
2784,miui is trash,0
2786,received an amazing product from amazon,0
2802,battery n camera is good,0
2801,writing this review after use of almost,0
2800,it,0
2799,after,0
2798,display refresh rate is slow,0
2797,good,0
2796,the device received was preety good and as per the configuration mentioned,0
2785,ok,0
2795,i,0
2793,well done,0
2792,terrible mistake i have done purchase by going through the ratings,0
2791,the phone is just awesome,0
2790,found damaged front camera,0
2789,budget frndly,0
2788,wroste product ever no fingerprint sensor work,0
2787,superb,0
2794,good,0
2845,camera quality is not nice,0
2846,good,0
2847,worst camera quality,0
2905,one of the best phone,0
2904,after one month of usage it,0
2903,works like charm,0
2902,the media could not be loaded,0
2901,phone is ok,0
2900,its is not for gaming dont buy it,0
2899,m,0
2906,camera quality is very good and fingerprint reader is very good and battery life is very very so goodthank you redmi,0
2898,best phone for normal use,0
2896,product is good but camera is soo poor if we add,0
2895,best phone under this price,0
2894,the camera quality is not good,0
2893,excellent,0
2892,speaker quality,0
2891,camera quality is so bad,0
2890,camera quality is very average,0
2897,chip quality products,0
2889,perfect products for price same product available off line in the namr of a series,0
2908,wifi connectivity getting disconnected again and again i think i have received faulty mobile please check and replace,0
2910,over all phone is good but front camera is not good,0
2926,fantastic phone,0
2925,loss phone purchased,0
2924,battery drain faster than my,0
2923,it comes with,0
2922,i have bought this phone it,0
2921,the media could not be loaded,0
2920,hanging problem,0
2909,camera is not up to mark,0
2919,on the very first day itself after using for just,0
2917,the media could not be loaded,0
2916,camera could have been better,0
2915,as per,0
2914,battery life very poor,0
2913,very poor camera and fiction of phone it,0
2912,finger print reader is elegant and battery is awesome for two days,0
2911,worst camera quality of mobile only deciveing customer by saying,0
2918,touch and camera improvement highly required,0
2766,great phone,0
2888,bought this phone for my mother,0
2886,i will buy this phone but the phone is hitting problem too please get the right product,0
2865,it,0
2864,fingerprint is very fastbettery is low consumedcamera is normal quality,0
2863,not good on camera,0
2862,quality of all over phone is not good,0
2861,mi lite mode option is superb,0
2860,pros,0
2859,this mobile is not for camera enthusiastic people,0
2866,the media could not be loaded,0
2857,it is not,0
2855,phone is good but many feature is not upto mark,0
2854,model,0
2853,good,0
2852,nice product,0
2850,happy with amazon delivery service and seller,0
2849,this product quality camera is good,0
2848,,0
2856,camera quality is very bad,0
2887,very bad camera quality,0
2867,m,0
2869,very good,0
2885,camera resolution is not good as described in profile,0
2884,average phone,0
2883,writing this review after,0
2882,good,0
2881,battery back up is poor,0
2880,kind of taking,0
2879,never buy any smartphone with mediatek processors,0
2868,camera quality is very poor in comparison of moto g,0
2878,battery charging is verry slow,0
2876,better than any orange or other brands with fruit names,0
2875,camera quality is not good as expected as redmi mentions,0
2874,its a normal use mobile,0
2873,it,0
2872,i didn,0
2871,nice,0
2870,screen is slow to touch and limited ram,0
2877,budget quality,0
2765,over hiting phone charging time and calling time,0
2764,whole mobile is made of cheap quality plastic,0
2763,little bit issues this mobile,0
2658,excellent features and ease in operation,0
2657,just good phone,0
2656,carmera is the worst one,0
2655,camera is good,0
2654,avreg,0
2653,since its an led screen,0
2652,good,0
2659,good phone for performance,0
2651,but don,0
2649,photo quality is not good as compared to my last cheaper model realme pro,0
2648,ok fine overall performance good,0
2647,must he bhai iss range me bas cemra thoda sa shi nhi he,0
2646,value for money,0
2645,battery backup is awesome,0
2644,overall a good phone with average camera quality,0
2643,it is no wastage of money,0
2650,camera quality not good,0
2642,so far no problem,0
2660,no good,0
2662,good battery lifeno fast charging includingaverage camera qualitygood in this price range,0
2678,fingerprint,0
2677,very good phone in this price,0
2676,don,0
2675,it gets switched off out of no where and does not function for a while,0
2674,the media could not be loaded,0
2673,battery acchi chalti hai and server thik hai girlfriend achcha laga future mobile ko,0
2672,overall it is a good product,0
2661,firstly i liked the,0
2671,just one thing which i don,0
2669,the camera,0
2668,please don,0
2667,everything is fine,0
2666,gaming ke liye,0
2665,it got all my expectations satisfied within the budget,0
2664,works awesome,0
2663,igl,0
2670,battery life is good but camera is not that good and fingerprint reader is also good,0
2679,battery is not good,0
2641,good mobile,0
2639,overall a good phone,0
2616,bought for mom,0
2615,it,0
2614,i like lookwise but fingerprint reader on lock button is bit of worst one,0
2613,both front camera and back camera shots are below average,0
2612,diskike,0
2611,don,0
2610,poor camera and worst performance,0
2617,best product in best price,0
2609,it,0
2607,camera quality not ok,0
2606,it lags when a lil heavy task is done but good,0
2605,i am ok,0
2604,good,0
2603,very good,0
2602,camera is not feels like,0
2601,value for money,0
2608,nice product,0
2640,mobile working smooth and camera quality is excellent,0
2618,good,0
2620,the media could not be loaded,0
2638,the phone is bulky,0
2637,worth the price,0
2635,good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good,0
2634,good,0
2633,amoled is great and battey life awesome,0
2632,battery life excellent,0
2631,everything is good except camera quality,0
2619,my first choice for redmi phone always but after buying this phone,0
2630,phone is goodbut camera very low quality,0
2627,worst sound quality while on call,0
2626,i m not happy with this product it,0
2625,bought on,0
2624,the media could not be loaded,0
2623,camera quality is quite good,0
2622,best samsung m series phone ever with knox security and full version of one ui,0
2621,both camera,0
2629,great phone go for it this range is great go for it good cemra good battry all good this phone,0
2927,camera quality very basic,0
2680,after using this phone,0
2682,good,0
2740,rear camera is good,0
2739,camera not good,0
2738,good phone,0
2737,nice product,0
2736,it will hang something but in this range good phone go for it,0
2735,good,0
2734,if u need under,0
2741,many west,0
2733,it is made in china productdisplay quality is very poor hard to see eye will get strain,0
2731,amazing phone with some amazing featurs,0
2730,bad product bad camera quality,0
2729,the phone is best and ram performance is very nice,0
